iter	Passed	Remaining
0	140	140322
1	141	70823
2	142	47355
3	142	35583
4	143	28520
5	143	23807
6	144	20444
7	144	17917
8	144	15952
9	145	14380
10	145	13094
11	146	12025
12	146	11118
13	146	10341
14	147	9667
15	147	9077
16	147	8557
17	148	8095
18	148	7681
19	149	7308
20	149	6971
21	149	6666
22	150	6386
23	150	6129
24	151	5892
25	151	5674
26	151	5472
27	152	5285
28	152	5110
29	152	4946
30	153	4794
31	153	4651
32	154	4517
33	154	4390
34	154	4271
35	155	4159
36	155	4052
37	156	3951
38	156	3855
39	156	3764
40	157	3677
41	157	3595
42	158	3517
43	158	3441
44	158	3370
45	159	3301
46	159	3235
47	159	3172
48	160	3112
49	160	3054
50	161	2998
51	161	2944
52	161	2893
53	162	2842
54	162	2794
55	163	2748
56	163	2703
57	163	2660
58	164	2619
59	164	2578
60	164	2539
61	165	2502
62	165	2465
63	166	2429
64	166	2395
65	166	2361
66	167	2329
67	167	2295
68	167	2264
69	168	2235
70	168	2206
71	169	2178
72	169	2151
73	169	2124
74	170	2098
75	170	2073
76	170	2048
77	171	2024
78	171	2001
79	172	1978
80	172	1956
81	172	1934
82	173	1913
83	173	1892
84	173	1871
85	174	1851
86	174	1831
87	174	1812
88	175	1793
89	175	1776
90	176	1758
91	176	1741
92	176	1724
93	177	1707
94	177	1691
95	177	1675
96	178	1660
97	178	1644
98	179	1629
99	179	1615
100	180	1602
101	180	1586
102	180	1573
103	181	1560
104	181	1548
105	182	1535
106	182	1523
107	182	1510
108	183	1499
109	183	1488
110	184	1476
111	184	1464
112	185	1453
113	185	1442
114	186	1431
115	186	1419
116	186	1409
117	187	1398
118	187	1387
119	187	1377
120	188	1367
121	188	1357
122	188	1345
123	189	1336
124	189	1326
125	189	1317
126	190	1307
127	190	1297
128	190	1288
129	191	1280
130	191	1271
131	192	1262
132	192	1254
133	192	1246
134	193	1237
135	193	1230
136	194	1222
137	194	1214
138	194	1207
139	195	1199
140	195	1192
141	196	1184
142	196	1177
143	196	1170
144	197	1163
145	197	1156
146	198	1149
147	198	1142
148	198	1135
149	199	1128
150	199	1122
151	199	1115
152	200	1109
153	200	1102
154	201	1096
155	201	1090
156	201	1083
157	202	1077
158	202	1071
159	203	1065
160	203	1060
161	203	1054
162	204	1048
163	204	1042
164	204	1037
165	205	1031
166	205	1026
167	206	1020
168	206	1015
169	206	1010
170	207	1004
171	207	999
172	208	994
173	208	989
174	208	984
175	209	979
176	209	974
177	209	969
178	210	964
179	210	959
180	210	954
181	211	949
182	211	944
183	212	940
184	212	935
185	212	931
186	213	926
187	213	922
188	213	918
189	214	913
190	214	909
191	215	905
192	215	900
193	215	896
194	216	892
195	216	888
196	217	884
197	217	880
198	217	876
199	218	872
200	218	868
201	218	864
202	219	860
203	219	857
204	220	853
205	220	849
206	220	845
207	221	842
208	221	838
209	222	835
210	222	831
211	222	828
212	223	824
213	223	821
214	224	817
215	224	814
216	224	811
217	225	807
218	225	804
219	225	800
220	226	797
221	226	794
222	227	791
223	227	787
224	227	784
225	228	781
226	228	778
227	228	775
228	229	772
229	229	768
230	230	765
231	230	762
232	230	759
233	231	756
234	231	753
235	231	750
236	232	747
237	232	745
238	233	742
239	233	739
240	233	736
241	234	733
242	234	730
243	234	728
244	235	725
245	235	722
246	236	720
247	236	717
248	236	714
249	237	711
250	237	709
251	238	706
252	238	704
253	238	701
254	239	698
255	239	696
256	240	693
257	240	691
258	240	688
259	241	686
260	241	683
261	241	681
262	242	678
263	242	676
264	243	674
265	243	671
266	243	669
267	244	667
268	244	664
269	244	662
270	245	659
271	245	657
272	246	655
273	246	653
274	246	650
275	247	648
276	247	646
277	248	644
278	248	641
279	248	639
280	249	637
281	249	635
282	249	633
283	250	631
284	250	629
285	251	626
286	251	624
287	251	622
288	252	620
289	252	618
290	253	616
291	253	614
292	253	612
293	254	610
294	254	608
295	254	606
296	255	604
297	255	602
298	256	600
299	256	598
300	256	596
301	257	594
302	257	592
303	257	590
304	258	588
305	258	586
306	259	584
307	259	583
308	259	581
309	260	579
310	260	577
311	261	575
312	261	573
313	261	571
314	262	570
315	262	568
316	262	566
317	263	564
318	263	562
319	264	561
320	264	559
321	264	557
322	265	555
323	265	554
324	266	552
325	266	550
326	266	549
327	267	547
328	267	545
329	267	544
330	268	542
331	268	540
332	269	538
333	269	537
334	269	535
335	270	534
336	270	532
337	271	530
338	271	529
339	271	527
340	272	526
341	272	524
342	273	523
343	273	521
344	273	519
345	274	518
346	274	516
347	275	515
348	275	513
349	275	512
350	276	510
351	276	509
352	276	507
353	277	505
354	277	504
355	278	502
356	278	501
357	278	499
358	279	498
359	279	497
360	279	495
361	280	494
362	280	492
363	281	491
364	281	489
365	281	488
366	282	486
367	282	485
368	283	483
369	283	482
370	283	481
371	284	479
372	284	478
373	284	476
374	285	475
375	285	474
376	286	472
377	286	471
378	286	470
379	287	468
380	287	467
381	288	466
382	288	464
383	288	463
384	289	462
385	289	460
386	290	459
387	290	458
388	290	456
389	291	455
390	291	454
391	292	452
392	292	451
393	292	450
394	293	448
395	293	447
396	293	446
397	294	445
398	294	443
399	295	442
400	295	441
401	295	440
402	296	438
403	296	437
404	296	436
405	297	435
406	297	433
407	298	432
408	298	431
409	298	430
410	299	428
411	299	427
412	300	426
413	300	425
414	300	424
415	301	422
416	301	421
417	302	420
418	302	419
419	302	418
420	303	417
421	303	415
422	304	414
423	304	413
424	304	412
425	305	411
426	305	410
427	305	408
428	306	407
429	306	406
430	307	405
431	307	404
432	307	403
433	308	401
434	308	400
435	308	399
436	309	398
437	309	397
438	310	396
439	310	395
440	310	394
441	311	392
442	311	391
443	312	390
444	312	389
445	312	388
446	313	387
447	313	386
448	313	385
449	314	384
450	314	383
451	315	381
452	315	380
453	316	380
454	316	379
455	316	378
456	317	377
457	317	376
458	318	375
459	318	374
460	319	373
461	319	372
462	320	371
463	320	370
464	321	369
465	321	368
466	322	367
467	322	366
468	322	365
469	323	364
470	323	363
471	323	362
472	324	361
473	324	360
474	325	359
475	325	358
476	325	357
477	326	356
478	326	355
479	326	354
480	327	353
481	327	352
482	328	351
483	328	350
484	328	349
485	329	348
486	329	347
487	330	346
488	330	345
489	330	344
490	331	343
491	331	342
492	332	341
493	332	340
494	332	339
495	333	338
496	333	337
497	334	336
498	334	335
499	334	334
500	335	333
501	335	332
502	336	331
503	336	331
504	336	330
505	337	329
506	337	328
507	337	327
508	338	326
509	338	325
510	339	324
511	339	323
512	339	322
513	340	321
514	340	320
515	341	319
516	341	318
517	341	318
518	342	317
519	342	316
520	342	315
521	343	314
522	343	313
523	344	312
524	344	311
525	344	310
526	345	309
527	345	308
528	346	308
529	346	307
530	346	306
531	347	305
532	347	304
533	347	303
534	348	302
535	348	301
536	349	300
537	349	300
538	349	299
539	350	298
540	350	297
541	350	296
542	351	295
543	351	294
544	352	293
545	352	293
546	352	292
547	353	291
548	353	290
549	354	289
550	354	288
551	354	287
552	355	287
553	355	286
554	355	285
555	356	284
556	356	283
557	357	282
558	357	281
