iter	Passed	Remaining
0	0	870
1	1	890
2	2	775
3	2	700
4	3	679
5	3	650
6	4	624
7	4	605
8	5	586
9	5	572
10	6	562
11	6	554
12	7	546
13	7	540
14	8	534
15	8	527
16	9	522
17	9	517
18	9	512
19	10	507
20	10	503
21	11	500
22	11	498
23	12	495
24	12	491
25	13	489
26	13	485
27	13	482
28	14	480
29	14	477
30	15	476
31	15	476
32	16	483
33	16	482
34	17	481
35	17	481
36	18	480
37	18	480
38	19	480
39	19	478
40	20	477
41	20	475
42	21	474
43	21	473
44	22	472
45	22	471
46	23	468
47	23	467
48	24	466
49	24	465
50	24	464
51	25	463
52	25	461
53	26	460
54	26	459
55	27	458
56	27	457
57	28	456
58	28	455
59	29	454
60	29	453
61	29	452
62	30	451
63	30	450
64	31	452
65	32	454
66	32	453
67	33	452
68	33	452
69	34	451
70	34	451
71	34	450
72	35	449
73	35	448
74	36	447
75	36	446
76	37	444
77	37	444
78	38	443
79	38	442
80	38	441
81	39	440
82	39	437
83	40	436
84	40	435
85	40	434
86	41	434
87	41	433
88	42	432
89	42	432
90	43	431
91	43	430
92	44	430
93	44	429
94	44	428
95	45	427
96	45	427
97	46	428
98	47	429
99	47	429
100	48	429
101	48	429
102	49	428
103	49	427
104	50	427
105	50	426
106	51	425
107	51	424
108	51	424
109	52	423
110	52	423
111	53	422
112	53	421
113	54	420
114	54	420
115	55	419
116	55	417
117	55	417
118	56	416
119	56	415
120	57	415
121	57	413
122	57	413
123	58	412
124	58	411
125	59	411
126	59	409
127	60	409
128	60	408
129	60	408
130	61	407
131	61	407
132	62	407
133	62	406
134	63	406
135	63	405
136	64	404
137	64	403
138	65	402
139	65	401
140	65	401
141	66	399
142	66	398
143	66	397
144	67	396
145	67	395
146	68	394
147	68	393
148	68	393
149	69	392
150	69	391
151	70	390
152	70	390
153	70	389
154	71	389
155	71	388
156	72	388
157	72	388
158	73	387
159	73	386
160	73	385
161	74	384
162	74	383
163	75	382
164	75	382
165	75	381
166	76	381
167	77	381
168	77	381
169	78	381
170	78	381
171	79	381
172	79	381
173	80	380
174	80	380
175	81	379
176	81	378
177	81	377
178	82	377
179	82	376
180	83	375
181	83	374
182	83	374
183	84	373
184	84	372
185	84	371
186	85	371
187	85	370
188	86	369
189	86	369
190	86	368
191	87	367
192	87	367
193	88	366
194	88	365
195	88	365
196	89	364
197	89	363
198	90	362
199	90	362
200	90	361
201	91	360
202	91	360
203	92	360
204	92	360
205	93	359
206	93	359
207	94	358
208	94	357
209	94	357
210	95	356
211	95	355
212	96	355
213	96	354
214	96	353
215	97	353
216	97	352
217	98	351
218	98	351
219	98	350
220	99	349
221	99	349
222	100	348
223	100	348
224	100	347
225	101	346
226	101	346
227	102	345
228	102	345
229	102	344
230	103	343
231	103	343
232	104	342
233	104	341
234	104	341
235	105	340
236	105	340
237	106	339
238	106	338
239	106	338
240	107	338
241	107	337
242	108	337
243	108	337
244	109	336
245	109	336
246	110	335
247	110	334
248	110	334
249	111	333
250	111	333
251	112	332
252	112	331
253	112	331
254	113	330
255	113	330
256	113	329
257	114	329
258	114	328
259	115	327
260	115	327
261	115	326
262	116	326
263	116	325
264	117	325
265	117	324
266	117	323
267	118	323
268	118	322
269	119	322
270	119	321
271	119	320
272	120	320
273	120	319
274	121	319
275	121	318
276	121	318
277	122	317
278	122	317
279	123	317
280	123	316
281	124	316
282	124	315
283	124	314
284	125	314
285	125	313
286	126	313
287	126	312
288	126	312
289	127	311
290	127	311
291	128	310
292	128	310
293	128	309
294	129	308
295	129	308
296	130	307
297	130	307
298	130	306
299	131	306
300	131	305
301	132	305
302	132	304
303	132	304
304	133	303
305	133	303
306	134	302
307	134	301
308	134	301
309	135	300
310	135	300
311	135	299
312	136	299
313	136	298
314	137	299
315	138	299
316	138	298
317	139	298
318	139	298
319	140	297
320	140	296
321	140	296
322	141	295
323	141	295
324	142	294
325	142	294
326	142	293
327	143	293
328	143	292
329	144	292
330	144	291
331	144	291
332	145	290
333	145	290
334	145	289
335	146	289
336	146	288
337	147	288
338	147	287
339	147	287
340	148	286
341	148	286
342	149	285
343	149	285
344	149	284
345	150	284
346	150	283
347	151	283
348	151	282
349	151	282
350	152	281
351	152	281
352	153	281
353	153	280
354	154	280
355	155	280
356	155	280
357	156	280
358	156	279
359	157	279
360	157	279
361	158	278
362	158	278
363	158	277
364	159	277
365	159	276
366	160	276
367	160	275
368	161	275
369	161	274
370	161	274
371	162	273
372	162	273
373	163	272
374	163	272
375	163	272
376	164	271
377	164	270
378	165	270
379	165	269
380	165	269
381	166	269
382	166	268
383	167	268
384	167	267
385	168	267
386	168	266
387	169	266
388	169	266
389	169	265
390	170	265
391	171	265
392	171	264
393	172	264
394	172	264
395	173	263
396	173	263
397	174	263
398	174	262
399	174	262
400	175	261
401	175	261
402	176	260
403	176	260
404	176	260
405	177	259
406	177	259
407	178	258
408	178	257
409	178	257
410	179	256
411	179	256
412	180	256
413	180	255
414	180	255
415	181	254
416	181	254
417	182	253
418	182	253
419	182	252
420	183	252
421	183	251
422	184	251
423	185	251
424	185	250
425	185	250
426	186	250
427	186	249
428	187	249
429	187	248
430	188	248
431	188	247
432	188	247
433	189	246
434	189	246
435	190	246
436	190	245
437	191	245
438	191	245
439	192	244
440	192	244
441	193	243
442	193	243
443	193	242
444	194	242
445	194	242
446	195	241
447	195	241
448	196	240
449	196	240
450	196	239
451	197	239
452	197	238
453	198	238
454	198	237
455	199	237
456	199	237
457	200	237
458	200	236
459	201	236
460	201	236
461	202	235
462	202	235
463	203	234
464	203	234
465	204	233
466	204	233
467	204	232
468	205	232
469	205	232
470	206	231
471	206	231
472	206	230
473	207	230
474	207	229
475	208	229
476	208	228
477	209	228
478	209	228
479	210	227
480	210	227
481	211	226
482	211	226
483	211	225
484	212	225
485	212	224
486	213	224
487	213	223
488	213	223
489	214	223
490	214	222
491	215	222
492	215	222
493	216	221
494	217	221
495	217	220
496	217	220
497	218	220
498	218	219
499	219	219
500	219	218
501	220	218
502	220	218
503	221	217
504	221	217
505	222	216
506	222	216
507	223	216
508	223	215
509	224	215
510	224	214
511	224	214
512	225	213
513	225	213
514	226	212
515	226	212
516	226	211
517	227	211
518	227	211
519	228	210
520	228	210
521	228	209
522	229	209
523	230	209
524	230	208
525	231	208
526	231	207
527	232	207
528	232	206
529	232	206
530	233	206
531	233	205
532	234	205
533	234	204
534	235	204
535	235	204
536	236	203
537	236	203
538	236	202
539	237	202
540	237	201
541	238	201
542	238	200
543	239	200
544	239	199
545	239	199
546	240	199
547	240	198
548	241	198
549	241	197
550	242	197
551	242	196
552	242	196
553	243	195
554	243	195
555	244	194
556	244	194
557	245	194
558	245	193
559	246	193
560	246	193
561	247	192
562	247	192
563	248	191
564	248	191
565	249	191
566	249	190
567	249	190
568	250	189
569	250	189
570	251	188
571	252	188
572	252	188
573	252	187
574	253	187
575	253	186
576	254	186
577	254	185
578	255	185
579	255	184
580	255	184
581	256	184
582	256	183
583	257	183
584	257	182
585	257	182
586	258	181
587	258	181
588	259	180
589	259	180
590	259	179
591	260	179
592	260	179
593	261	178
594	261	178
595	262	177
596	262	177
597	263	177
598	263	176
599	264	176
600	264	175
601	265	175
602	265	174
603	265	174
604	266	173
605	266	173
606	267	173
607	267	172
608	268	172
609	268	171
610	268	171
611	269	170
612	269	170
613	270	169
614	270	169
615	270	168
616	271	168
617	271	167
618	272	167
619	272	167
620	272	166
621	273	166
622	273	165
623	274	165
624	274	164
625	274	164
626	275	163
627	276	163
628	276	163
629	277	162
630	277	162
631	278	161
632	278	161
633	279	161
634	279	160
635	280	160
636	280	159
637	281	159
638	281	159
639	282	158
640	282	158
641	283	157
642	283	157
643	284	157
644	284	156
645	284	156
646	285	155
647	285	155
648	286	154
649	286	154
650	286	153
651	287	153
652	287	152
653	288	152
654	288	151
655	288	151
656	289	151
657	289	150
658	290	150
659	290	149
660	291	149
661	291	148
662	292	148
663	292	148
664	293	147
665	293	147
666	293	146
667	294	146
668	294	145
669	295	145
670	295	144
671	296	144
672	296	144
673	296	143
674	297	143
675	297	142
676	298	142
677	298	141
678	298	141
679	299	140
680	299	140
681	300	139
682	300	139
683	301	139
684	301	138
685	302	138
686	302	137
687	302	137
688	303	136
689	303	136
690	304	136
691	304	135
692	305	135
693	305	134
694	306	134
695	306	134
696	307	133
697	307	133
698	308	132
699	308	132
700	309	131
701	309	131
702	309	130
703	310	130
704	310	130
705	311	129
706	311	129
707	311	128
708	312	128
709	312	127
710	313	127
711	313	126
712	313	126
713	314	125
714	314	125
715	315	125
716	315	124
717	315	124
718	316	123
719	316	123
720	317	122
721	317	122
722	317	121
723	318	121
724	318	120
725	319	120
726	319	119
727	319	119
728	320	119
729	320	118
730	321	118
731	321	117
732	322	117
733	322	116
734	323	116
735	323	116
736	324	115
737	324	115
738	324	114
739	325	114
740	325	113
741	325	113
742	326	112
743	326	112
744	327	111
745	327	111
746	327	111
747	328	110
748	328	110
749	329	109
750	329	109
751	330	108
752	330	108
753	330	107
754	331	107
755	331	107
756	332	106
757	332	106
758	332	105
759	333	105
760	333	104
761	334	104
762	334	103
763	334	103
764	335	102
765	335	102
766	336	102
767	336	101
768	337	101
769	337	100
770	338	100
771	338	99
772	338	99
773	339	99
774	339	98
775	340	98
776	340	97
777	340	97
778	341	96
779	341	96
780	342	95
781	342	95
782	342	95
783	343	94
784	343	94
785	344	93
786	344	93
787	344	92
788	345	92
789	345	91
790	346	91
791	346	90
792	346	90
793	347	90
794	347	89
795	348	89
796	348	88
797	348	88
798	349	87
799	349	87
800	350	86
801	350	86
802	350	86
803	351	85
804	351	85
805	352	84
806	352	84
807	353	83
808	353	83
809	354	83
810	354	82
811	354	82
812	355	81
813	355	81
814	356	80
815	356	80
816	356	79
817	357	79
818	357	79
819	358	78
